id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,pemilik_menara,lokasi_menara,long,lat,struktur_tower,tinggi_tower,keterangan,satuan,tahun
414,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,TELKOMSEL,JL. SETIA BUDI 191,107.593035,-6.866779,POLE ROOFTOP,6,-,METER,2017
415,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,NATRINDO TELEPON SELULER,JL. SETIA BUDI 49,107.594568,-6.85743,3 KAKI,52,-,METER,2017
416,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,TELKOMSEL,JL. SETIA BUDI 269/275,107.594845,-6.85498,POLE ROOFTOP,2,-,METER,2017
417,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,HUTCHISON CP TELEKOMUNICATION,JL. SETIA BUDI,107.594232,-6.854537,3 KAKI,18,-,METER,2017
418,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,TOWER BERSAMA GROUP,JL. DR. SOMAMUDI KM 10 NO. 8B / 9 RT 03/02,107.602058,-6.846624,4 KAKI,50,-,METER,2017
419,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,MENARA POLDA JABAR,JL. SETIA BUDI KM 10,107.599312,-6.847204,4 KAKI,52,-,METER,2017
420,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,TELKOMSEL,JL. SETIA BUDI NO. 268A,107.595548,-6.86158,MONOPOLE,30,-,METER,2017
421,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,INDOSAT,JL. CIPAKU I NO. 2,107.596143,-6.863507,POLE ROOFTOP,3,-,METER,2017
422,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,XL AXIATA,JL. DR. SETIA BUDI NO. 228,107.59431,-6.86487,MICROCELL POLE,15,-,METER,2017
423,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,PROTELINDO,JL. CIPAKU INDAH 3 NO. 11 RT. 03/02,107.599552,-6.864108,POLE ROOFTOP,6,-,METER,2017
