FID,ogc_fid,site_id,lat,long,jen_men,tinggi,jen_kons,geometry
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.26,26,MPW011,-0.141111,109.410361,Green Field,40,4 KAKI,POINT (109.41036111111111 -0.1411111111111111)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.27,27,MPW063,-0.070222,109.390333,Green Field,72,4 KAKI,POINT (109.39033333333334 -0.0702222222222222)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.28,28,MPW054,-0.21525,109.468,Green Field,72,4 KAKI,POINT (109.468 -0.21525)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.29,29,MPW062,-0.751611,109.542361,Green Field,72,4 KAKI,POINT (109.5423611111111 -0.7516111111111111)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.30,30,MPW059,-0.225194,109.387917,Green Field,72,4 KAKI,POINT (109.38791666666667 -0.2251944444444444)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.31,31,MPW010,-0.08625,109.3755,Green Field,42,4 KAKI,POINT (109.37549999999999 -0.08625)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.32,32,MPW072,-0.014167,109.695278,Green Field,72,4 KAKI,POINT (109.69527777777778 -0.0141666666666667)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.33,33,MPW075,-0.266944,109.281944,Green Field,72,4 KAKI,POINT (109.28194444444445 -0.2669444444444444)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.34,34,MPW071,-0.384167,109.626944,Green Field,72,4 KAKI,POINT (109.62694444444443 -0.3841666666666667)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.35,35,MPW077,0.044111,109.557889,Green Field,42,4 KAKI,POINT (109.55788888888888 0.0441111111111111)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.36,36,MPW047,-0.006556,109.238167,Green Field,72,4 KAKI,POINT (109.238166666667 -0.0065555555555556)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.37,37,MPW029,-0.792639,109.468667,Green Field,82,4 KAKI,POINT (109.46866666666666 -0.7926388888888889)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.38,38,MPW149,-0.81525,109.49311,Green Field,0,4 KAKI,POINT (109.49311 -0.81525)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.39,39,16MPW001,-0.141472,109.410139,Green Field,40,4 KAKI,POINT (109.410138888889 -0.141472222222222)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.40,40,16PTK006,-0.086472,109.376222,Green Field,43,4 KAKI,POINT (109.376222222222 -0.0864722222222222)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.41,41,16MPW006,-0.248306,109.371583,green field,70,4 KAKI,POINT (109.371583333333 -0.248305555555556)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.42,42,16MPW010,-0.174083,109.435889,Green Field,45,4 KAKI,POINT (109.435888888889 -0.174083333333333)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.43,43,16MPW009,-0.056444,109.194278,Green Field,70,4 KAKI,POINT (109.194277777778 -0.0564444444444444)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.44,44,16MPW026,-0.729861,109.565889,Green Field,100,4 KAKI,POINT (109.565889 -0.729861)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.45,45,16PTK017,-0.10325,109.407444,Green Field,40,4 KAKI,POINT (109.407444444444 -0.10325)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.46,46,16KTP009,-0.743417,109.537139,Green Field,70,4 KAKI,POINT (109.537138888889 -0.743416666666667)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.47,47,16MPW016,-0.011111,109.224083,Green Field,70,4 KAKI,POINT (109.224083333333 -0.0111111111111111)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.48,48,16MPW027,-0.696528,109.263278,Green Field,70,4 KAKI,POINT (109.263277777778 -0.696527777777778)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.49,49,16PTK030,-0.032278,109.393278,Green Field,55,4 KAKI,POINT (109.393277777778 -0.0322777777777778)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.50,50,16MPW020,-0.124498,109.243279,Green Field,70,4 KAKI,POINT (109.243279 -0.124498)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.51,51,16PTK023,-0.062333,109.366139,Green Field,42,4 KAKI,POINT (109.366138888889 -0.0623333333333333)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.52,52,16MPW019,-0.296619,109.567921,green field,70,4 KAKI,POINT (109.56792069 -0.29661885)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.54,54,16MPW023,-0.384221,109.627335,green field,70,4 KAKI,POINT (109.62733463 -0.38422105)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.55,55,16PTK053,-0.004722,109.262361,Green Field,52,4 KAKI,POINT (109.262361111111 -0.0047222222222222)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.56,56,16MPW041,-0.040101,109.540271,Green Field,72,4 KAKI,POINT (109.54027084 -0.04010096)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.57,57,16MPW044,-0.589417,109.256083,green field,72,4 KAKI,POINT (109.256083333333 -0.589416666666667)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.58,58,16PTK038,-0.062829,109.380935,Green Field,70,4 KAKI,POINT (109.38093469 -0.06282936)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.59,59,16MPW025,-0.030311,109.609984,Green Field,70,4 KAKI,POINT (109.609984 -0.030311)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.60,60,16MPW040,-0.036008,109.463793,Green Field,70,4 KAKI,POINT (109.46379275 -0.0360077)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.61,61,16MPW043,-0.211735,109.393508,green field,52,4 KAKI,POINT (109.393508 -0.211735)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.62,62,16MPW050,-0.080167,109.401472,Green Field,52,4 KAKI,POINT (109.401472222222 -0.0801666666666667)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.63,63,16PTK062,-0.066306,109.242806,Green Field,72,4 KAKI,POINT (109.242805555556 -0.0663055555555556)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.64,64,16PTK066,-0.093361,109.39275,Green Field,42,4 KAKI,POINT (109.39275 -0.0933611111111111)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.65,65,16MPW049,-0.01584,109.696801,Green Field,72,4 KAKI,POINT (109.696801 -0.01584)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.66,66,16MPW045,-0.313111,109.148944,green field,72,4 KAKI,POINT (109.148944 -0.313111)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.67,67,16MPW054,-0.136614,109.437819,Green Field,52,4 KAKI,POINT (109.437819 -0.136614)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.68,68,16PTK071,-0.268565,109.286218,green field,52,4 KAKI,POINT (109.286218 -0.268565)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.69,69,3412,-0.109472,109.388,Green Field,50,3 KAKI,POINT (109.388 -0.109472)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.70,70,3405,-0.141028,109.41,Green Field,30,4 KAKI,POINT (109.41 -0.141028)
